"epaRegion","state","epaSampID","amtMERC","amtPCB","amtPFA","species","feeder"
4,"GA",112453,89.5,0.172,1.75,"Flathead catfish","BD"
4,"GA",134193,86.2,0.77,1.15,"Channel catfish","BD"
4,"GA",127053,171,0.403,1.43,"Shoal bass","P"
4,"GA",134013,56.2,2.55,0.404,"Channel catfish","BD"
4,"GA",897793,144,0.057,0.826,"Largemouth bass","P"
4,"GA",134433,146,1.58,10.3,"Largemouth bass","P"
7,"IA",115853,56.2,0.171,0.152,"Channel catfish","BD"
7,"IA",135553,87.8,0.908,0.515,"Channel catfish","BD"
7,"IA",126793,452,0.304,0.26,"Smallmouth bass","P"
7,"IA",122293,354,0.0659,0.15,"Smallmouth bass","P"
7,"IA",897293,165,0.339,0.822,"Smallmouth bass","P"
7,"IA",131213,43.3,0.0901,0.149,"Channel catfish","BD"
7,"IA",129133,134,0.242,0.269,"White sucker","BD"
7,"IA",133973,190,1.22,1.63,"White bass","P"
7,"IA",126833,152,0.0246,0,"White sucker","BD"
7,"IA",111853,134,0.372,0.681,"Freshwater drum","P"
7,"IA",897233,117,1.07,0.819,"Freshwater drum","P"
10,"ID",123673,62.6,0.0499,0,"Cutthroat trout","P"
10,"ID",890613,394,0.0596,0.375,"Smallmouth bass","P"
10,"ID",134473,30.2,0.08,0.118,"Rainbow trout","P"
10,"ID",123653,126,0.0958,0,"Smallmouth bass","P"
10,"ID",104833,73.3,0.0612,0,"Smallmouth bass","P"
5,"IL",894693,147,0.338,1.6,"Flathead catfish","BD"
5,"IL",889373,77.8,0.921,0.308,"Channel catfish","BD"
5,"IL",107773,72.7,0.198,0.124,"Channel catfish","BD"
5,"IL",897273,52.7,2.37,0.383,"Channel catfish","BD"
5,"IL",106473,406,0.0733,0.439,"Largemouth bass","P"
5,"IL",887353,509,0.515,1.28,"Flathead catfish","BD"
5,"IL",104513,180,0.0585,0.613,"Flathead catfish","BD"
